cbg,total_population,median_household_income,median_age,white_population,black_population,asian_population,hispanic_population,uni_degree,income_q,education_q,age_q
2.50277E+11,1752,33545,30,0.74543379,0.240296804,0,0.320776256,0.121304791,Q2,Q1,Q2
2.50277E+11,755,90962,32.6,0.866225166,0.099337748,0.00794702,0.014569536,0.472580645,Q4,Q4,Q2
2.50277E+11,1019,51477,43.2,0.581943081,0.346418057,0.040235525,0.043179588,0.3,Q3,Q3,Q4
2.50277E+11,1234,88224,38.8,0.969976905,0.01039261,0.002309469,0.032332564,0.535060976,Q4,Q4,Q3
2.50277E+11,1510,NA,19.6,0.755629139,0.107284768,0.068874172,0.099337748,0.375,NA,Q3,Q1
2.50277E+11,1994,14732,50,0.63891675,0.12337011,0.163490471,0.199598796,0.12345679,Q1,Q1,Q4
2.50277E+11,899,NA,24.6,0.655172414,0.097886541,0.189098999,0.097886541,0.148984199,NA,Q1,Q1
2.50277E+11,2040,48000,29.5,0.635784314,0.080882353,0.14754902,0.41127451,0.184601925,Q3,Q2,Q1
2.50277E+11,1198,27863,25.4,0.213689482,0.116861436,0.136894825,0.566777963,0.195751138,Q1,Q2,Q1
2.50277E+11,1429,35833,29.7,0.538838348,0.128061582,0.174947516,0.33030091,0.120467836,Q2,Q1,Q1
2.50277E+11,739,28571,28.7,0.658998647,0.146143437,0.105548038,0.50879567,0.146853147,Q1,Q1,Q1
2.50277E+11,1230,26201,28.2,0.593495935,0.142276423,0.080487805,0.443902439,0.15535248,Q1,Q2,Q1
2.50277E+11,1200,27227,32.5,0.425,0.313333333,0.0775,0.3675,0.139973082,Q1,Q1,Q2
2.50277E+11,1143,23074,39.2,0.559930009,0.244094488,0,0.527559055,0.103274559,Q1,Q1,Q3
2.50277E+11,751,12963,47.4,0.667110519,0.242343542,0,0.507323569,0.076512456,Q1,Q1,Q4
2.50277E+11,748,32222,30.2,0.610962567,0.220588235,0,0.589572193,0.115830116,Q2,Q1,Q2
2.50277E+11,1143,16845,36.6,0.697287839,0.037620297,0.004374453,0.42519685,0.146616541,Q1,Q1,Q3
2.50277E+11,959,40172,38.2,0.66527633,0.147028154,0.052137643,0.527632951,0.070692194,Q2,Q1,Q3
2.50277E+11,787,40156,31.3,0.271918679,0.152477764,0.520965693,0.202033037,0.022108844,Q2,Q1,Q2
2.50277E+11,484,20558,41.5,0.847107438,0.061983471,0,0.70661157,0.103571429,Q1,Q1,Q3
2.50277E+11,716,23676,33.8,0.361731844,0.223463687,0.213687151,0.245810056,0.211832061,Q1,Q2,Q2
2.50277E+11,1806,45481,32.1,0.588039867,0.147840532,0.004429679,0.713732004,0.067675868,Q2,Q1,Q2
2.50277E+11,255,37647,26.8,0.270588235,0.407843137,0.262745098,0.196078431,0.096551724,Q2,Q1,Q1
2.50277E+11,1482,15473,37.5,0.789473684,0.171390013,0,0.334682861,0.033276451,Q1,Q1,Q3
2.50277E+11,1475,41740,21.1,0.597966102,0.147118644,0.193220339,0.075932203,0.569844789,Q2,Q4,Q1
2.50277E+11,582,12067,30.8,0.771477663,0.049828179,0.170103093,0.006872852,0.468671679,Q1,Q4,Q2
2.50277E+11,1216,21860,33.3,0.652960526,0.219572368,0.111842105,0.113486842,0.167061611,Q1,Q2,Q2
2.50277E+11,1241,19125,22.4,0.732473811,0.09991942,0.164383562,0.06365834,0.41567696,Q1,Q3,Q1
2.50277E+11,614,NA,24.9,0.477198697,0.068403909,0.237785016,0.076547231,0.47260274,NA,Q4,Q1
2.50277E+11,1256,12589,19.5,0.817675159,0.062101911,0.058121019,0.083598726,0.494845361,Q1,Q4,Q1
2.50277E+11,1116,34107,30.8,0.758960573,0.191756272,0.018817204,0.160394265,0.487179487,Q2,Q4,Q2
2.50277E+11,1604,18894,35.1,0.604114713,0.235037406,0.005610973,0.362219451,0.171006944,Q1,Q2,Q2
2.50277E+11,734,73170,49.1,0.897820163,0,0.019073569,0.085831063,0.293729373,Q4,Q3,Q4
2.50277E+11,1113,24917,26.2,0.673854447,0,0,0.531895777,0,Q1,Q1,Q1
2.50277E+11,1585,12386,29.7,0.38044164,0.237223975,0,0.595583596,0.069078947,Q1,Q1,Q1
2.50277E+11,997,NA,40.1,0.259779338,0.301905717,0.318956871,0.322968907,0.237026648,NA,Q2,Q3
2.50277E+11,717,60116,30.5,0.843793584,0.059972106,0,0.023709902,0.103092784,Q3,Q1,Q2
2.50277E+11,1400,15220,40.6,0.613571429,0.237142857,0,0.265,0.171376481,Q1,Q2,Q3
2.50277E+11,1065,55717,29.9,0.326760563,0.19342723,0.066666667,0.263849765,0.164404223,Q3,Q2,Q1
2.50277E+11,1020,54531,30.5,0.643137255,0.049019608,0,0.258823529,0.164005806,Q3,Q2,Q2
2.50277E+11,706,NA,32.5,0.424929178,0.245042493,0.04815864,0.30878187,0.221967963,NA,Q2,Q2
2.50277E+11,2299,30382,29.5,0.548934319,0.225315355,0.076989996,0.262722923,0.183839881,Q1,Q2,Q1
2.50277E+11,3762,20308,20.5,0.474747475,0.170919724,0.024455077,0.690855928,0.130091984,Q1,Q1,Q1
2.50277E+11,1104,65859,47.7,0.604166667,0.201992754,0.064311594,0.218297101,0.201765448,Q4,Q2,Q4
2.50277E+11,2743,66641,33.6,0.777251185,0.068902661,0.105359096,0.099526066,0.501731816,Q4,Q4,Q2
2.50277E+11,574,24961,84.8,0.933797909,0.008710801,0,0.139372822,0.087108014,Q1,Q1,Q4
2.50277E+11,595,25368,44.7,0.863865546,0.045378151,0.078991597,0.149579832,0.524,Q1,Q4,Q4
2.50277E+11,2055,51900,43.7,0.659854015,0.177615572,0.138199513,0.027250608,0.345886443,Q3,Q3,Q4
2.50277E+11,1080,46250,40.7,0.791666667,0.111111111,0.077777778,0.062037037,0.368888889,Q2,Q3,Q3
2.50277E+11,867,41250,35.9,0.884659746,0.027681661,0,0.128027682,0.227045075,Q2,Q2,Q3
2.50277E+11,1144,40469,25.8,0.851398601,0.052447552,0.045454545,0.233391608,0.082616179,Q2,Q1,Q1
2.50277E+11,1314,59167,31.7,0.281582953,0.349315068,0.355403349,0.02739726,0.593184239,Q3,Q4,Q2
2.50277E+11,960,71477,42.6,0.848958333,0.057291667,0.058333333,0.173958333,0.206798867,Q4,Q2,Q3
2.50277E+11,1242,31118,22.1,0.642512077,0.090982287,0.100644122,0.343800322,0.063683305,Q2,Q1,Q1
2.50277E+11,2493,67125,35.6,0.809466506,0.043722423,0.103890895,0.064179703,0.26946472,Q4,Q3,Q3
2.50277E+11,1274,64205,40.5,0.481161695,0.317896389,0.045525903,0.135792779,0.247975709,Q3,Q2,Q3
2.50277E+11,695,66181,46,0.912230216,0,0.047482014,0.069064748,0.381944444,Q4,Q3,Q4
2.50277E+11,2502,40855,28.8,0.617106315,0.241007194,0.103117506,0.215427658,0.177278402,Q2,Q2,Q1
2.50277E+11,1594,41406,34.5,0.747804266,0.098494354,0.128607277,0.054579674,0.235393734,Q2,Q2,Q2
2.50277E+11,1345,30990,33.9,0.666914498,0.240148699,0.020074349,0.224535316,0.204134367,Q1,Q2,Q2
2.50277E+11,1604,46406,25.8,0.317331671,0.386533666,0.127182045,0.360349127,0.185667752,Q3,Q2,Q1
2.50277E+11,873,53359,29.6,0.733104238,0.148911798,0,0.635738832,0.101027397,Q3,Q1,Q1
2.50277E+11,711,26771,34.1,0.542897328,0.250351617,0,0.279887482,0.077262693,Q1,Q1,Q2
2.50277E+11,1133,24509,25.7,0.770520741,0.131509267,0,0.726390115,0,Q1,Q1,Q1
2.50277E+11,1038,28194,22.1,0.668593449,0.140655106,0.062620424,0.546242775,0.121621622,Q1,Q1,Q1
2.50277E+11,1057,34922,28.9,0.530747398,0.114474929,0.150425733,0.438032167,0.342313788,Q2,Q3,Q1
2.50277E+11,945,23750,32.1,0.666666667,0.144973545,0.033862434,0.388359788,0.0856102,Q1,Q1,Q2
2.50277E+11,1279,31912,29.3,0.448006255,0.200938233,0.064112588,0.353401095,0.087064677,Q2,Q1,Q1
2.50277E+11,1193,31622,27.1,0.598491199,0.077116513,0,0.559932942,0.223357664,Q2,Q2,Q1
2.50277E+11,886,43788,39.2,0.902934537,0.064334086,0.001128668,0.362302483,0.10620915,Q2,Q1,Q3
2.50277E+11,575,55132,35,0.502608696,0.16173913,0.180869565,0.229565217,0.277272727,Q3,Q3,Q2
2.50277E+11,407,40179,26.7,0.604422604,0.024570025,0,0.518427518,0.189922481,Q2,Q2,Q1
